Date,Year,Quarter,Real_GDP,GDP_Growth,CPI,Inflation_Rate,Unemployment_Rate
2001-01-01,2001,Q1,14183.12,-1.304762184579944,175.9,3.4097589653145244,4.233333333333333
2001-04-01,2001,Q2,14271.694,2.5215095311051705,177.13333333333333,3.324907641454411,4.3999999999999995
2001-07-01,2001,Q3,14214.516,-1.5929517725444375,177.63333333333333,2.678227360308272,4.833333333333333
2001-10-01,2001,Q4,14253.574,1.1036401883300906,177.5,1.87488042854409,5.5
2002-01-01,2002,Q1,14372.785,3.3876388749031205,178.0666666666667,1.231760469964005,5.7
2002-04-01,2002,Q2,14460.848,2.4734430447546085,179.46666666666667,1.3172751223184065,5.833333333333333
2002-07-01,2002,Q3,14519.633,1.635987710669795,180.4333333333333,1.5762807280915725,5.733333333333333
2002-10-01,2002,Q4,14537.58,0.495337658367756,181.5,2.2535211267605604,5.866666666666667
2003-01-01,2003,Q1,14614.141,2.12326755305412,183.36666666666667,2.976413328341443,5.866666666666667
2003-04-01,2003,Q2,14743.567,3.5898246978526505,183.0666666666667,2.0059435364041756,6.133333333333333
2003-07-01,2003,Q3,14988.782,6.820621845919783,184.4333333333333,2.216885276186953,6.133333333333333
2003-10-01,2003,Q4,15162.76,4.724349381684623,185.13333333333333,2.0018365472910915,5.833333333333333
2004-01-01,2004,Q1,15248.68,2.28594433046867,186.70000000000002,1.8178512997636842,5.7
2004-04-01,2004,Q2,15366.85,3.1360288812639414,188.16666666666666,2.7858703568827137,5.599999999999999
2004-07-01,2004,Q3,15512.619,3.8487076162528,189.36666666666667,2.674859931321172,5.433333333333334
2004-10-01,2004,Q4,15670.88,4.143707818439446,191.4,3.3849477853799215,5.433333333333334
2005-01-01,2005,Q1,15844.727,4.5118422661180935,192.36666666666667,3.035172290662369,5.3
2005-04-01,2005,Q2,15922.782,1.9851064291597664,193.66666666666666,2.9229406554472925,5.1000000000000005
2005-07-01,2005,Q3,16047.587,3.172311000902628,196.6,3.8197500440063203,4.966666666666667
2005-10-01,2005,Q4,16136.734,2.2406507440459578,198.4333333333333,3.6746778126088397,4.966666666666667
2006-01-01,2006,Q1,16353.835,5.491115888112441,199.46666666666667,3.690868133772307,4.733333333333333
2006-04-01,2006,Q2,16396.151,1.0390351677306064,201.26666666666665,3.9242685025817625,4.633333333333333
2006-07-01,2006,Q3,16420.738,0.6011742586201629,203.16666666666666,3.3401152933197675,4.633333333333334
2006-10-01,2006,Q4,16561.866,3.4823729200428755,202.33333333333334,1.9653955988577332,4.433333333333334
2007-01-01,2007,Q1,16611.69,1.2087836914185912,204.317,2.4316510695187254,4.5
2007-04-01,2007,Q2,16713.314,2.4695947150627617,206.631,2.6652865187148045,4.5
2007-07-01,2007,Q3,16809.587,2.3240880884577653,207.939,2.3489745693191066,4.666666666666667
2007-10-01,2007,Q4,16915.191,2.5367271478347497,210.4896666666667,4.031136738056018,4.8
2008-01-01,2008,Q1,16843.003,-1.6961606735480972,212.76966666666667,4.137035423712487,5.0
2008-04-01,2008,Q2,16943.291,2.403069701864058,215.5376666666667,4.310421314646251,5.333333333333333
2008-07-01,2008,Q3,16854.295,-2.0845363314131338,218.861,5.2525019356638225,6.0
2008-10-01,2008,Q4,16485.35,-8.472768957225274,213.84866666666667,1.59580280267122,6.866666666666667
2009-01-01,2009,Q1,16298.262,-4.462803810727223,212.37766666666667,-0.18423678813865862,8.266666666666667
2009-04-01,2009,Q2,16269.145,-0.7126911125331037,213.50699999999998,-0.9421400435809635,9.299999999999999
2009-07-01,2009,Q3,16326.281,1.4121870876976361,215.34399999999997,-1.6069560131773297,9.633333333333333
2009-10-01,2009,Q4,16502.754,4.394263592305325,217.03,1.4876563800569231,9.933333333333334
2010-01-01,2010,Q1,16582.71,1.952133820572155,217.37400000000002,2.352570028549783,9.833333333333334
2010-04-01,2010,Q2,16743.162,3.926881074055233,217.29733333333334,1.7752735663624009,9.633333333333333
2010-07-01,2010,Q3,16872.266,3.1201978026194954,217.93433333333334,1.2028815910047896,9.466666666666667
2010-10-01,2010,Q4,16960.864,2.117043484228409,219.69899999999998,1.2297839008431843,9.5
2011-01-01,2011,Q1,16920.632,-0.9454489541211974,222.04366666666667,2.148217664792762,9.033333333333333
2011-04-01,2011,Q2,17035.114,2.7339190839842376,224.56833333333336,3.3461064102642935,9.066666666666666
2011-07-01,2011,Q3,17031.313,-0.08922107662069356,226.03266666666664,3.7159511351278374,9.0
2011-10-01,2011,Q4,17222.583,4.568438742179692,227.04733333333334,3.3447277107921947,8.633333333333333
2012-01-01,2012,Q1,17367.01,3.396793738645587,228.32600000000002,2.8293233613208235,8.266666666666667
2012-04-01,2012,Q2,17444.525,1.7973274732638433,228.808,1.88791830252113,8.2
2012-07-01,2012,Q3,17469.65,0.5773578286532466,229.841,1.6848597105433294,8.033333333333333
2012-10-01,2012,Q4,17489.852,0.4633651980530562,231.36933333333332,1.903567831670916,7.8
2013-01-01,2013,Q1,17662.4,4.005025807945661,232.29933333333335,1.740201875096714,7.733333333333333
